File Name,Image ID,Class Name,Object Number,Area,Centroid,BoundingBox
test_108.png,108,mitochondrion,1,2100.0,"(0.0, 339.36809523809524, 857.8038095238095)","(0, 311, 834, 1, 369, 884)"
test_108.png,108,mitochondrion,2,2232.0,"(1.0, 477.22491039426524, 604.1039426523297)","(1, 447, 576, 2, 510, 630)"
test_108.png,108,mitochondrion,3,2080.0,"(2.0, 311.6168269230769, 632.51875)","(2, 287, 604, 3, 340, 661)"
test_108.png,108,mitochondrion,4,1846.0,"(3.0, 163.53575297941495, 396.0032502708559)","(3, 140, 374, 4, 191, 418)"
test_108.png,108,mitochondrion,5,3988.0,"(4.0, 272.3841524573721, 770.0737211634905)","(4, 234, 739, 5, 313, 801)"
test_108.png,108,mitochondrion,6,1659.0,"(5.0, 116.28450874020494, 775.3664858348403)","(5, 88, 759, 6, 147, 792)"
test_108.png,108,mitochondrion,7,1404.0,"(6.0, 116.8960113960114, 297.5683760683761)","(6, 95, 277, 7, 140, 320)"
test_108.png,108,mitochondrion,8,2625.0,"(7.0, 209.38590476190475, 271.5253333333333)","(7, 181, 241, 8, 241, 302)"
test_108.png,108,mitochondrion,9,2724.0,"(8.0, 341.56424375917766, 84.87261380323055)","(8, 305, 61, 9, 378, 109)"
test_108.png,108,mitochondrion,10,929.0,"(9.0, 758.8482238966631, 814.3013993541442)","(9, 749, 776, 10, 767, 846)"
test_108.png,108,mitochondrion,11,591.0,"(10.0, 54.0575296108291, 941.5329949238578)","(10, 42, 928, 11, 68, 957)"
test_153.png,153,mitochondrion,1,8846.0,"(0.0, 395.35134524078677, 280.4189464164594)","(0, 314, 222, 1, 484, 331)"
test_153.png,153,mitochondrion,2,5739.0,"(1.0, 411.18975431259804, 108.2038682697334)","(1, 358, 73, 2, 465, 145)"
test_153.png,153,mitochondrion,3,3215.0,"(2.0, 248.0248833592535, 357.73779160186626)","(2, 221, 314, 3, 279, 397)"
test_153.png,153,mitochondrion,4,3112.0,"(3.0, 270.9331619537275, 579.0411311053984)","(3, 239, 547, 4, 304, 612)"
test_153.png,153,mitochondrion,5,2784.0,"(4.0, 614.8096264367816, 396.28484195402297)","(4, 586, 367, 5, 646, 426)"
test_153.png,153,mitochondrion,6,1604.0,"(5.0, 342.0517456359102, 818.2387780548628)","(5, 321, 795, 6, 365, 842)"
test_153.png,153,mitochondrion,7,2119.0,"(6.0, 220.10712600283154, 740.3119395941482)","(6, 195, 716, 7, 248, 766)"
test_153.png,153,mitochondrion,8,1186.0,"(7.0, 190.25716694772345, 904.7158516020236)","(7, 172, 885, 8, 210, 925)"
test_153.png,153,mitochondrion,9,2626.0,"(8.0, 80.24409748667175, 303.3990860624524)","(8, 52, 275, 9, 113, 332)"
test_153.png,153,mitochondrion,10,1018.0,"(9.0, 67.73772102161101, 936.4931237721022)","(9, 48, 921, 10, 90, 952)"
test_153.png,153,mitochondrion,11,1867.0,"(10.0, 724.0653454740225, 849.4627745045527)","(10, 700, 818, 11, 750, 882)"
test_153.png,153,mitochondrion,12,772.0,"(11.0, 745.2253886010362, 1012.7305699481865)","(11, 718, 1001, 12, 766, 1022)"
test_153.png,153,mitochondrion,13,390.0,"(12.0, 164.55641025641026, 388.8871794871795)","(12, 154, 378, 13, 177, 400)"
test_160.png,160,mitochondrion,1,8856.0,"(0.0, 409.34123757904246, 286.1565040650407)","(0, 324, 233, 1, 499, 335)"
test_160.png,160,mitochondrion,2,5132.0,"(1.0, 415.9226422447389, 106.10658612626656)","(1, 370, 73, 2, 467, 139)"
test_160.png,160,mitochondrion,3,3102.0,"(2.0, 265.2949709864603, 568.175693101225)","(2, 235, 537, 3, 298, 600)"
test_160.png,160,mitochondrion,4,2751.0,"(3.0, 249.96510359869137, 354.5826972010178)","(3, 228, 315, 4, 276, 389)"
test_160.png,160,mitochondrion,5,2091.0,"(4.0, 186.46341463414635, 900.0899091343855)","(4, 162, 874, 5, 212, 927)"
test_160.png,160,mitochondrion,6,1714.0,"(5.0, 339.08693115519253, 809.6114352392066)","(5, 318, 784, 6, 361, 835)"
test_160.png,160,mitochondrion,7,1153.0,"(6.0, 72.78924544666089, 934.031222896791)","(6, 51, 918, 7, 97, 951)"
test_160.png,160,mitochondrion,8,2014.0,"(7.0, 212.9428997020854, 733.1688182720953)","(7, 189, 709, 8, 241, 758)"
test_160.png,160,mitochondrion,9,1520.0,"(8.0, 715.8611842105263, 853.2125)","(8, 694, 825, 9, 739, 882)"
test_160.png,160,mitochondrion,10,2648.0,"(9.0, 73.49584592145015, 304.0173716012085)","(9, 45, 274, 10, 105, 333)"
test_160.png,160,mitochondrion,11,1141.0,"(10.0, 742.125328659071, 1009.7414548641542)","(10, 715, 996, 11, 766, 1022)"
test_160.png,160,mitochondrion,12,1954.0,"(11.0, 612.4042988741044, 393.51995905834184)","(11, 589, 369, 12, 638, 418)"
test_043.png,43,mitochondrion,1,5438.0,"(0.0, 423.3390952556087, 549.4097094520044)","(0, 388, 481, 1, 472, 612)"
test_043.png,43,mitochondrion,2,5828.0,"(1.0, 339.6781056966369, 807.2602951269732)","(1, 289, 774, 2, 393, 842)"
test_043.png,43,mitochondrion,3,2589.0,"(2.0, 423.7921977597528, 700.6060254924681)","(2, 387, 681, 3, 462, 723)"
test_043.png,43,mitochondrion,4,2156.0,"(3.0, 54.5139146567718, 661.5858070500927)","(3, 28, 633, 4, 81, 691)"
test_043.png,43,mitochondrion,5,4435.0,"(4.0, 751.3109357384442, 368.4719278466742)","(4, 733, 292, 5, 767, 456)"
test_043.png,43,mitochondrion,6,2764.0,"(5.0, 78.02279305354558, 350.9222141823444)","(5, 46, 324, 6, 109, 381)"
test_043.png,43,mitochondrion,7,2485.0,"(6.0, 436.70342052313885, 970.0056338028169)","(6, 411, 941, 7, 464, 999)"
test_043.png,43,mitochondrion,8,2286.0,"(7.0, 196.58136482939634, 236.40069991251093)","(7, 170, 211, 8, 224, 263)"
test_043.png,43,mitochondrion,9,2073.0,"(8.0, 54.53593825373854, 957.7660395561987)","(8, 30, 932, 9, 82, 984)"
test_043.png,43,mitochondrion,10,2502.0,"(9.0, 290.2681854516387, 477.6207034372502)","(9, 270, 439, 10, 313, 515)"
test_043.png,43,mitochondrion,11,7016.0,"(10.0, 149.35932155074116, 874.2984606613455)","(10, 106, 822, 11, 197, 923)"
test_043.png,43,mitochondrion,12,2261.0,"(11.0, 196.45599292348518, 809.6784608580274)","(11, 170, 783, 12, 224, 837)"
test_043.png,43,mitochondrion,13,4433.0,"(12.0, 565.640424092037, 901.131288066772)","(12, 532, 852, 13, 595, 946)"
test_043.png,43,mitochondrion,14,4651.0,"(13.0, 516.5721350247259, 563.8907761771662)","(13, 476, 528, 14, 561, 600)"
test_043.png,43,mitochondrion,15,1307.0,"(14.0, 304.4896710022953, 893.283856159143)","(14, 281, 878, 15, 331, 910)"
test_043.png,43,mitochondrion,16,1188.0,"(15.0, 221.59343434343435, 420.253367003367)","(15, 207, 397, 16, 238, 446)"
test_043.png,43,mitochondrion,17,1971.0,"(16.0, 695.1613394216134, 261.9680365296804)","(16, 673, 236, 17, 720, 289)"
test_043.png,43,mitochondrion,18,5037.0,"(17.0, 692.4512606710343, 921.6964462973992)","(17, 661, 856, 18, 732, 985)"
test_043.png,43,mitochondrion,19,2708.0,"(18.0, 747.2728951255539, 927.2134416543574)","(18, 726, 886, 19, 767, 973)"
test_043.png,43,mitochondrion,20,771.0,"(19.0, 363.3229571984436, 1012.7483787289235)","(19, 340, 1001, 20, 388, 1022)"
test_043.png,43,mitochondrion,21,716.0,"(20.0, 752.2835195530727, 1003.7025139664804)","(20, 740, 987, 21, 765, 1021)"
test_087.png,87,mitochondrion,1,3140.0,"(0.0, 679.4627388535032, 238.52707006369425)","(0, 649, 202, 1, 708, 274)"
test_087.png,87,mitochondrion,2,3097.0,"(1.0, 131.84856312560544, 785.301905069422)","(1, 93, 761, 2, 173, 810)"
test_087.png,87,mitochondrion,3,4754.0,"(2.0, 292.2623054270088, 784.0035759360538)","(2, 245, 752, 3, 340, 816)"
test_087.png,87,mitochondrion,4,4121.0,"(3.0, 464.13006551807814, 599.2909487988352)","(3, 424, 560, 4, 510, 636)"
test_087.png,87,mitochondrion,5,2741.0,"(4.0, 324.4567676030646, 874.2331265961328)","(4, 284, 853, 5, 365, 897)"
test_087.png,87,mitochondrion,6,2200.0,"(5.0, 337.5854545454545, 660.8127272727273)","(5, 306, 632, 6, 371, 687)"
